CIUDAD AUTONOMA DE BS AS,CABA,2112,15288,6815,24215
BUENOS AIRES,BA,320,7141,4361,11822
CORDOBA,COR,391,974,531,1896
MENDOZA,MZ,118,801,339,1258
SANTA FE,SFE,165,474,365,1004
NEUQUEN,NEU,33,515,148,696
MISIONES,MIS,6,376,199,581
CHUBUT,CHU,28,338,206,572
TIERRA DEL FUEGO,TIE,304,79,69,452
CORRIENTES,CTE,26,179,155,360
JUJUY,JUJ,10,190,152,352
RIO NEGRO,RNE,45,156,107,308
SAN LUIS,SLU,7,210,49,266
ENTRE RIOS,RIO,13,145,98,256
SALTA,SAL,31,83,74,188
SAN JUAN,JUA,21,96,55,172
LA RIOJA,LAR,15,85,66,166
SANTA CRUZ,SCR,9,72,60,141
TUCUMAN,TUC,34,55,31,120
FORMOSA,FOR,1,39,36,76
LA PAMPA,LAP,7,46,9,62
